fiscal_year,period_end,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,operating_cash_flow,capital_expenditures,free_cash_flow,diluted_eps,revenue_growth_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,current_ratio,debt_to_equity,free_cash_flow_margin_pct,capex_as_pct_of_revenue,return_on_assets_pct,return_on_equity_pct
2021,2021-09-25,365817,152836,108949,94680,351002,287912,63090,134836,125481,104038,11085,92953,5.61,,41.78,29.78,25.88,1.07,4.56,25.41,3.03,26.97,150.07
2022,2022-09-24,394328,170782,119437,99803,352755,302083,50672,135405,153982,122151,10708,111443,6.11,7.79,43.31,30.29,25.31,0.88,5.96,28.26,2.72,28.29,196.96
2023,2023-09-30,383285,169148,114301,96995,352583,290437,62146,143566,145308,110543,10959,99584,6.13,-2.8,44.13,29.82,25.31,0.99,4.67,25.98,2.86,27.51,156.08
2024,2024-09-28,391035,180683,123216,93736,364980,308030,56950,152987,176392,118254,9447,108807,6.08,2.02,46.21,31.51,23.97,0.87,5.41,27.83,2.42,25.68,164.59
2025,2025-09-27,416161,195201,133050,112010,359241,285508,73733,147957,165631,111482,12715,98767,7.46,6.43,46.91,31.97,26.92,0.89,3.87,23.73,3.06,31.18,151.91
