fiscal_year,period_end,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,shareholders_equity,current_assets,current_liabilities,operating_cash_flow,capital_expenditures,free_cash_flow,diluted_eps
2021,2021-09-25,365817,152836,108949,94680,351002,287912,63090,134836,125481,104038,11085,92953,5.61
2022,2022-09-24,394328,170782,119437,99803,352755,302083,50672,135405,153982,122151,10708,111443,6.11
2023,2023-09-30,383285,169148,114301,96995,352583,290437,62146,143566,145308,110543,10959,99584,6.13
2024,2024-09-28,391035,180683,123216,93736,364980,308030,56950,152987,176392,118254,9447,108807,6.08
2025,2025-09-27,416161,195201,133050,112010,359241,285508,73733,147957,165631,111482,12715,98767,7.46
